Mu s kinoaparátem	Chelovek s kino-apparatom 	1929	Dokumentární	Sovìtskı svaz	Dziga Vertov	8.5	8.3	www.csfd.cz/film/99416-muz-s-kinoaparatem/	www.imdb.com/title/tt0019760/
Novı Babylon	Novyj Vavilon 	1929	Drama / Historickı	Sovìtskı svaz	Leonid Trauberg, Grigorij Kozincev	6.5	7.2	www.csfd.cz/film/200135-novy-babylon/	www.imdb.com/title/tt0020230/
Pancéøové auto 	Pancéøové auto 	1929	Krimi	Èeskoslovensko	Rolf Randolf	7.8	NA	www.csfd.cz/film/223410-pancerove-auto/	www.imdb.com/title/tt1090247/
Pandoøina skøínka	Büchse der Pandora, Die 	1929	Drama	Nìmecko	Georg Wilhelm Pabst	7.6	7.8	www.csfd.cz/film/27415-pandorina-skrinka/	www.imdb.com/title/tt0018737/
Plukovník Švec 	Plukovník Švec 	1929	Drama / Váleènı	Èeskoslovensko	Svatopluk Innemann	7.2	NA	www.csfd.cz/film/223421-plukovnik-svec/	www.imdb.com/title/tt1092280/
Pøehlídka lásky	Love Parade, The 	1929	Komedie / Muzikál / Romantickı	USA	Ernst Lubitsch	7.7	7.2	www.csfd.cz/film/6121-prehlidka-lasky/	www.imdb.com/title/tt0020112/
Spite Marriage 	Spite Marriage 	1929	Komedie	USA	Edward Sedgwick, Buster Keaton	7.3	7.1	www.csfd.cz/film/24802-spite-marriage/	www.imdb.com/title/tt0020442/
Svatı Václav 	Svatı Václav 	1929	Drama / Historickı / Dobrodrunı / Váleènı	Èeskoslovensko	Jan Stanislav Kolár	7	NA	www.csfd.cz/film/27115-svaty-vaclav/	www.imdb.com/title/tt0295646/
Takovı je ivot 	Takovı je ivot 	1929	Drama	Èeskoslovensko	Carl Junghans	7.7	6.8	www.csfd.cz/film/44489-takovy-je-zivot/	www.imdb.com/title/tt0020427/
Varhaník u sv. Víta 	Varhaník u sv. Víta 	1929	Drama / Romantickı	Èeskoslovensko	Martin Friè	7.8	5.8	www.csfd.cz/film/3170-varhanik-u-sv-vita/	www.imdb.com/title/tt0169359/
ena na mìsíci	Frau im Mond 	1929	Drama / Sci-Fi	Nìmecko	Fritz Lang	8.4	7.2	www.csfd.cz/film/5599-zena-na-mesici/	www.imdb.com/title/tt0019901/
